Season,Horario,Sitio,B_µg/m3,T_µg/m3,E_µg/m3,X_ µg/m3,B_mg/m3,T_mg/m3,E_mg/m3,X_mg/m3,E_adult_mg/kg,E_niños_mg/kg,LTCR_Adult,LTCR_Niños,HQ_B,HQ_T,HQ_E,HQ_X,Temp_c,Presión_HPA,Vel_Km/h,Dir_degree,Humedad_%
Rainy,B1,IMP,6.226245025,5.526444461,3.704671572,3.858083273,0.006226245,0.005526444,0.003704672,0.003858083,0.001908105,0.003611222,5.69E-05,0.000107614,0.207541501,0.001105289,0.003704672,0.038580833,28.83333333,1009.666667,15.5,90,83.33333333
Rainy,B2,IMP,6.135521938,5.756468365,3.754307409,3.951351499,0.006135522,0.005756468,0.003754307,0.003951351,0.001880301,0.003558603,5.60E-05,0.000106046,0.204517398,0.001151294,0.003754307,0.039513515,29,1009.666667,15,67.5,82.33333333
Rainy,B3,IMP,5.624428355,4.933704429,3.751802209,3.924409369,0.005624428,0.004933704,0.003751802,0.003924409,0.001723671,0.003262168,5.14E-05,9.72E-05,0.187480945,0.000986741,0.003751802,0.039244094,30.66666667,1010,20,22.5,72
Rainy,B1,IMP,5.679328297,4.498583849,3.621634675,3.628810111,0.005679328,0.004498584,0.003621635,0.00362881,0.001740496,0.00329401,5.19E-05,9.82E-05,0.189310943,0.000899717,0.003621635,0.036288101,27,1009,10,180,86
Rainy,B2,IMP,3.883637821,3.758464629,3.599770502,3.556764321,0.003883638,0.003758465,0.003599771,0.003556764,0.001190186,0.00225251,3.55E-05,6.71E-05,0.129454594,0.000751693,0.003599771,0.035567643,28.33333333,1009.666667,9.15,45,76.1
Rainy,B3,IMP,3.253670107,3.34692094,3.59325342,3.55327693,0.00325367,0.003346921,0.003593253,0.003553277,0.000997125,0.001887129,2.97E-05,5.62E-05,0.10845567,0.000669384,0.003593253,0.035532769,29.66666667,1007.666667,14,360,71
Rainy,B1,IMP,4.249337032,4.266493543,3.670161803,3.739214554,0.004249337,0.004266494,0.003670162,0.003739215,0.001302258,0.002464615,3.88E-05,7.34E-05,0.141644568,0.000853299,0.003670162,0.037392146,26,1009,10,135,89
Rainy,B2,IMP,4.234475643,4.019461628,3.633215846,3.589215241,0.004234476,0.004019462,0.003633216,0.003589215,0.001297704,0.002455996,3.87E-05,7.32E-05,0.141149188,0.000803892,0.003633216,0.035892152,28.33333333,1009.333333,8.5,77.18,77
Rainy,B3,IMP,5.105842416,4.082264257,3.660856145,3.640405805,0.005105842,0.004082264,0.003660856,0.003640406,0.001564744,0.002961389,4.66E-05,8.82E-05,0.170194747,0.000816453,0.003660856,0.036404058,30,1007.666667,15,360,71.66666667
Rainy,B1,IMP,12.06251788,11.03056077,4.240059647,5.689929593,0.012062518,0.011030561,0.00424006,0.00568993,0.003696698,0.00699626,0.000110162,0.000208489,0.402083929,0.002206112,0.00424006,0.056899296,28,1009,14,135,83
Rainy,B2,IMP,4.297840432,3.954080159,3.67759383,3.869225205,0.00429784,0.00395408,0.003677594,0.003869225,0.001317123,0.002492747,3.93E-05,7.43E-05,0.143261348,0.000790816,0.003677594,0.038692252,29.66666667,1010,10.05,90,65
Rainy,B3,IMP,5.469434548,4.869352,3.713492123,3.865297268,0.005469435,0.004869352,0.003713492,0.003865297,0.001676171,0.003172272,4.99E-05,9.45E-05,0.182314485,0.00097387,0.003713492,0.038652973,30,1008,17,360,73
Rainy,B1,IMP,3.270368933,3.152282373,3.537814269,3.467226938,0.003270369,0.003152282,0.003537814,0.003467227,0.001002242,0.001896814,2.99E-05,5.65E-05,0.109012298,0.000630456,0.003537814,0.034672269,26,1009,8.3,145.84,92
Rainy,B2,IMP,3.780338682,3.282047314,3.574262354,3.467580488,0.003780339,0.003282047,0.003574262,0.00346758,0.001158528,0.002192596,3.45E-05,6.53E-05,0.126011289,0.000656409,0.003574262,0.034675805,29,1009,11,270,75
Rainy,B3,IMP,4.76419413,4.414371172,3.69834793,3.818517549,0.004764194,0.004414371,0.003698348,0.003818518,0.001460042,0.002763233,4.35E-05,8.23E-05,0.158806471,0.000882874,0.003698348,0.038185175,30.33333333,1006,13.15,360,75
Rainy,B1,IMP,4.636417066,4.343991434,3.661157578,3.756926081,0.004636417,0.004343991,0.003661158,0.003756926,0.001420884,0.002689122,4.23E-05,8.01E-05,0.154547236,0.000868798,0.003661158,0.037569261,27,1007.666667,19,270,86.66666667
Rainy,B2,IMP,6.393533298,5.829177986,3.857057407,4.243771683,0.006393533,0.005829178,0.003857057,0.004243772,0.001959372,0.003708249,5.84E-05,0.000110506,0.213117777,0.001165836,0.003857057,0.042437717,29,1008,24,292.5,79
Rainy,B3,IMP,4.044463052,4.209793584,4.185428662,4.310220291,0.004044463,0.004209794,0.004185429,0.00431022,0.001239472,0.002345789,3.69E-05,6.99E-05,0.134815435,0.000841959,0.004185429,0.043102203,29,1005,25,292.5,79
Rainy,B1,IMP,3.548985649,3.232760128,3.555951877,3.484583939,0.003548986,0.00323276,0.003555952,0.003484584,0.001087628,0.002058412,3.24E-05,6.13E-05,0.118299522,0.000646552,0.003555952,0.034845839,27,1007,24.5,270,88
